Site Name,Link,Category,Languages & Frameworks,Comments
301 Days of Code,https://301daysofcode.com/,practice,Multiple,Our programming challenge helps you go from web developer newbie to employed
A Cloud Guru,https://acloud.guru/,paid learning,"AWS, Google Cloud Platform, Microsoft Azure",Learn about the cloud (free trial and then payment)
Advent of Code,https://adventofcode.com/,practice,,Daily elf/Santa themed code challenges during the month of December
AppAcademy,https://open.appacademy.io/,free learning,Multiple,With App Academy Open you’ll get free access to App Academy’s entire in-person full-stack curriculum.
AskQuestions.Tech,https://www.askquestions.tech/,community,Multiple,Open forum for tech questions
Atlassian,http://carlcheo.com/startcoding,infographic,Multiple,Which programming language should I learn first?
CodeChef,https://www.codechef.com/,practice,Multiple,Code challenges and contests
Codeforces,http://codeforces.com/,practice,Multiple,
Coderbyte,https://coderbyte.com/,practice,Multiple,Select free challenges and pay for other challenges
Coderwall,https://coderwall.com/,community,,Full of tips on various programming languages
CodeSignal,https://codesignal.com/developers/,"practice, career",Multiple,"Get a your coding skills certified, practice for technical interviews and build your developer resume."
CodeTriage,https://www.codetriage.com/,open source,,Help out your favorite open source projects and become a better developer while doing it.
Codewars,https://www.codewars.com/,practice,Multiple,"Free coding challenges, you pick the language"
Coding Game,https://www.codingame.com/start,practice,Multiple,Practice code while playing games.
Codrops,https://tympanus.net/codrops/,blog,,"Codrops is a web design and development blog that publishes articles and tutorials about the latest web trends, techniques and new possibilities."
Contribute to This Project,https://github.com/Syknapse/Contribute-To-This-Project,open source,,"This project is waiting for your contribution. If you have never contributed code on GitHub before, this is the project to get you started."
Dev Together,https://dev.to/,"community, blog",,Community to blog and post questions -- much nicer than StackOverflow
EnvatoTuts+,https://code.tutsplus.com/,free learning,Multiple,Various code tutorials
Exercism,https://exercism.io/,"practice, career",Multiple,"Level up your programming skills with 2,716 exercises across 48 languages, and insightful discussion with our dedicated team of welcoming mentors. Exercism is 100% free forever."
First Timers Only,https://www.firsttimersonly.com/,open source,,We VALUE first time contributors and we want them to know that everyone started somewhere! Start here!
freeCodeCamp,https://www.freecodecamp.org/,free learning,Multiple,Free tutorials and continued learning
GeeksforGeeks,https://practice.geeksforgeeks.org/,practice,Multiple,
GitHub,https://github.com/,community,,Online repository storage and programming community
GitHub,https://opensource.guide/how-to-contribute/,open source,,A guide on how to contribute to open source code
Google Developers,https://developers.google.com/,community,,Google's developer community homepage
Google Open Source,https://opensource.google.com/,open source,,Google Open SourceBringing better technology to the world by promoting open source.
Hacker News,https://www.hackernewsletter.com/,newsletter,,"Since 2010, we've put out a weekly newsletter of the best articles on startups, technology, programming, and more."
HackerRank,https://www.hackerrank.com/,"practice, career",Multiple,"Join over 5 million developers. Practice coding, prepare for interviews, and get hired."
Khan Academy,https://www.khanacademy.org/computing/computer-programming/html-js-jquery,free learning,Multiple,Making webpages interactive with jQuery
Learn Enough to Be Dangerous,https://www.learnenough.com/courses,free learning,Multiple,Free tutorials and continued learning
LeetCode,https://leetcode.com/,"practice, career",Multiple,"LeetCode is the best platform to help you enhance your skills, expand your knowledge and prepare for technical interviews."
Newbie Resources,https://github.com/imanialexis/newbie-resources/blob/master/README.md,git repo,Multiple,"A working list of helpful resources for tech, including podcasts, youtube channels, websites, blogs etc."
Open Source Friday,https://opensourcefriday.com/,open source,,"Open source is made by people just like you. This Friday, invest a few hours contributing to the software you use and love."
Pluralsight,https://www.pluralsight.com/,paid learning,Multiple,Pay-as-you-go online courses recommended by several other developers
Scrimba,https://scrimba.com/,free learning,Multiple,"Scrimba is a powerful new way of learning code. Play around with the instructors code any time, right in the player."
Simple Programmer,https://simpleprogrammer.com/,"blog, career, community",,The programming blog to help you get a job
Slack List,https://slack.directory/,community,,Open source list of Slack networks
SoloLearn,https://www.sololearn.com/,free learning,Multiple,
Taskcluster,https://codetribute.mozilla.org/projects/taskcluster,open source,,"Taskcluster is a distributed platform for executing tasks, such as running tests. Every day, it runs hundreds of thousands of tasks to support Firefox and lots of other projects at Mozilla."
Top Coder,https://www.topcoder.com/,"open source, community",,Get involved with open source projects
Top Coder Challenges,https://www.topcoder.com/challenges/,practice,Multiple,
Trailhead,https://trailhead.salesforce.com/en,free learning,,Free Salesforce tutorials
Traversy Media,http://www.traversymedia.com/,free learning,Multiple,
Tutorialzine,https://tutorialzine.com/,"free learning, community",Multiple,We are a community of talented developers who learn together. We have an ever-growing library of high-quality tutorials and articles that you can read completely for free!
Udemy,https://www.udemy.com/,paid learning,Multiple,Wait for a sale; they constantly have them
Up For Grabs,https://up-for-grabs.net/#/,"open source, community",Multiple,Get involved with open source projects
Upcase,https://thoughtbot.com/upcase,free learning,,Continued learning for intermediate to advanced developers
Women Techmakers,https://www.womentechmakers.com/,"career, community",,Google's program to help women discover tech resources
Your First PR,https://yourfirstpr.github.io/,open source,,Your First PR helps you get started contributing to Open Source by showcasing great starter issues on GitHub and elsewhere.
Your First PWA,https://codelabs.developers.google.com/codelabs/your-first-pwapp/#0,free learning,,Learn how to build a Progressive Web App through Google for free
